,Rating,Name,Rating Agency Name,Date,Sector,currentRatio,quickRatio,cashRatio,daysOfSalesOutstanding,netProfitMargin,pretaxProfitMargin,grossProfitMargin,operatingProfitMargin,returnOnAssets,returnOnCapitalEmployed,returnOnEquity,assetTurnover,fixedAssetTurnover,debtEquityRatio,debtRatio,effectiveTaxRate,freeCashFlowOperatingCashFlowRatio,freeCashFlowPerShare,cashPerShare,companyEquityMultiplier,ebitPerRevenue,enterpriseValueMultiple,operatingCashFlowPerShare,operatingCashFlowSalesRatio,payablesTurnover
14,A,Company 220,Rating agency 3,12/23/2010,Consumer Services,1.120175655,0.769588894,0.245069241,55.05953893,0.103720104,0.164004264,0.993344625,0.169431786,0.056760193,0.115242088,0.105371465,0.553809042,2.138959185,0.801756828,0.43107599,0.371126571,0.679196155,2.344885593,5.6757081004000005,1.850921228,0.175974706,8.868642474,3.440671178,0.17140308,0.0
15,B,Company 296,Rating agency 3,1/13/2011,Transportation,1.735940818,1.56957957,1.212880128,39.35168327,0.215579508,0.21463761,0.439207734,0.258718423,0.039549525,0.072719856,0.137491152,0.183896816,0.258648328,2.210245915,0.645344059,0.002806203,0.424996872,0.8819634724000001,3.9963989,3.470823144,0.0681680866,6.723162646,6.704864869000001,0.279397048,7.775211553
16,A,Company 70,Rating agency 3,1/25/2011,Technology,1.707857679,1.056934492,0.103468763,59.80980111,0.068226551,0.074641515,0.296958766,0.086062585,0.053888076,0.082340578,0.12696447,0.798788383,5.531230941,1.342102741,0.565504746,0.096262121,0.689756525,2.643702812,3.6021747079999997,2.352119314,0.085110033,11.43906208,3.781460709,0.094399838,6.849027221
17,BBB,Company 310,Rating agency 3,1/28/2011,Energy,1.126382844,1.545495054,0.120496214,102.3394818,0.084950501,0.103830935,0.213377359,0.126952909,0.054940751,0.103067472,0.129464072,0.639879792,0.942701231,1.356470508,0.574484537,0.172428513,0.151521942,0.518311669,4.2439378142,2.35050923,0.142928192,8.276138542,3.437485712,0.204639199,2.293092925
18,B,Company 446,Rating agency 3,2/16/2011,Consumer Services,2.125046074,1.921347013,1.360646741,32.81902991,-0.006425869,-0.001912482,0.999351774,0.057506033,-0.004512312,-0.001521664,0.0934945916,0.704529911,0.349723209,1.477324182,0.599680512,0.2569609082,0.262400922,0.41566624,1.261760377,2.493622263,-0.001917187,7.514421751,1.591016972,0.270628193,0.0
19,BBB,Company 68,Rating agency 3,3/3/2011,Energy,1.203769178,0.883626467,0.299401938,96.26766904,0.022376766,0.01944213,0.425899128,0.019374801,0.008096289,0.008633466,0.017918358,0.361649322,0.542917067,1.175087073,0.54599493,0.21190488579999997,0.160397671,0.613869859,1.4638534408,2.194467528,0.019411681,11.34111741,3.886283911,0.262797257,6.835072729
20,BB,Company 270,Rating agency 3,3/15/2011,Public Utilities,0.756585017,0.660192363,0.448808087,39.81843107,0.1186970818,0.170738785,0.812344948,0.37352772,0.144635493,0.049589108199999996,0.411994554,0.547003429,0.91920477,1.858411252,0.651596227,0.249484526,0.701362586,-1.141587549,7.5828265654,2.844450665,0.1864358836,0.726566251,3.1114400972000005,0.070040701,1.004269999
21,BBB,Company 186,Rating agency 3,3/18/2011,Energy,1.249225054,0.964214875,0.428735932,42.61511826,0.202511736,0.309916522,0.404035464,0.336398421,0.157559235,0.290888198,0.302129548,0.783610777,1.472406058,0.916192659,0.477177838,0.346380405,0.28090266,0.2177599638,4.8725865934,1.922982003,0.307512394,0.432864988,2.4482905046,0.355767219,4.925565491
22,A,Company 67,Rating agency 3,3/24/2011,Public Utilities,0.991426061,0.807964564,0.020373379,46.97549054,0.069144896,0.092225144,1.000238367,0.146570812,0.025263522,0.037507152,0.094145012,0.365214582,0.525855107,2.700685622,0.732037347,0.248743821,-0.04311471,-0.263199397,2.830465278,3.702671545,0.093400696,8.143451198,6.047676136,0.198874904,7.007842347
23,BB,Company 460,Rating agency 3,3/24/2011,Capital Goods,2.424556032,1.261382371,0.501930119,71.62147207,0.007376665,0.01061789,0.222267364,0.017689117,0.005522818,0.009765829,0.013629342,0.736297651,4.100050717,1.459555035,0.592476479,0.313635248,0.509776901,0.720894415,2.878915548,2.460622947,0.01077335,8.933742435,1.417710742,0.064201023,5.397878079
24,BBB,Company 261,Rating agency 3,3/29/2011,Energy,1.215875813,0.891897353,0.628133381,43.91227306,0.1335575906,0.1488608214,1.008765897,0.358274683,0.136825238,0.124912391,0.237184865,0.301895469,0.506650553,0.706514189,0.416808506,0.347200743,-0.181459088,-2.301939054,6.698792967999999,1.706181774,0.14963695920000003,7.196075176,12.46965018,0.2684817752,0.0
25,A,Company 247,Rating agency 3,3/30/2011,Consumer Non-Durables,1.108308363,0.793333365,0.372584608,39.83434148,0.109984308,0.14326813,0.538717679,0.143021598,0.093463459,0.156670394,0.29565583,0.855506579,3.061091227,2.206319795,0.693544119,0.227953362,0.615173529,3.297195365,4.140637658400001,3.202066975,0.143506912,11.61222906,5.298119794,0.144851175,2.431107318
27,BBB,Company 100,Rating agency 3,4/4/2011,Public Utilities,0.667874181,0.523901731,0.111197658,58.11913812,0.122092806,0.156453694,0.395782269,0.211273339,0.060846468,0.122410204,0.215125497,0.498881644,1.021328316,2.511633398,0.71449755,0.22548394,0.316086409,1.791616427,1.001604577,3.552485179,0.195867942,5.903190681,5.67975716,0.241532999,2.801976909
28,BBB,Company 337,Rating agency 3,4/7/2011,Consumer Services,0.907759946,0.817008052,0.378765287,36.16366005,0.126593934,0.185279832,0.790354848,0.21862428,0.06397549,0.13110924,0.158495535,0.505039347,12.16709436,1.482951967,0.593263895,0.311693849,0.80361911,1.6963749713999998,1.8390671276,2.480974932,0.183559995,1.074381574,1.8746470692,0.232694927,3.834721407
30,B,Company 381,Rating agency 3,4/8/2011,Capital Goods,2.22075367,1.41484472,0.443699779,56.08330934,0.01091429,0.007855276,0.124621123,0.028140075,0.022582873,0.024635958,0.1069181954,2.080283072,10.05425797,2.3264390534,1.008312399,0.14595749260000002,0.421790866,0.286054205,1.6429959539999999,3.3324084111999994,0.007806679,19.09477567,0.675500148,0.029225499,8.623690368
31,B,Company 94,Rating agency 3,4/8/2011,Energy,0.734362946,0.676297353,0.022580758,76.27837258,0.18928725,0.306299193,1.007381931,0.300598067,0.047859915,0.088627083,0.115670782,0.253701531,0.288600959,1.430606548,0.58732065,0.382135632,-0.356638584,-2.893426377,3.1665780981999996,2.429466167,0.308665998,7.047737943,8.153172764,0.3174334484,0.0
32,BBB,Company 91,Rating agency 3,4/11/2011,Energy,1.374192405,0.2652826,0.0,30.343399995600002,0.14299166940000002,0.2038801512,1.005440831,0.1938191118,0.032218248,0.054397911,0.074246243,0.000160891,0.00019561,1.31018201,0.569825566,0.357905558,-0.578895756,-3.14354321,1.6737508736000002,2.289738054,0.2049390304,7.522518608,5.424834686,0.18880360040000002,0.0
33,A,Company 92,Rating agency 3,4/27/2011,Consumer Services,1.640953342,0.194475163,0.051807127,0.0,0.037942378,0.059747165,0.324214135,0.058806859,0.055902675,0.116659688,0.162941381,1.477589157,2.600817708,1.911276981,0.657474614,0.359733134,0.709151883,5.49489481,2.938886084,2.926858484,0.058904846,8.370225794,7.886192291,0.089956761,6.791133951
34,BB,Company 190,Rating agency 3,4/27/2011,Consumer Non-Durables,1.59408918,0.354489678,0.057956101,22.98437384,0.051440882,0.067267962,0.055053366,0.066770144,0.089881283,0.189753569,0.191274036,1.773079153,8.576777392,1.137908474,0.534261009,0.22658329,1.434723852,2.9592173994,4.385127728,2.116371215,0.067350368,3.435965323,3.600898377599999,-0.053599376,11.8976692
35,BBB,Company 10,Rating agency 3,4/27/2011,Public Utilities,0.7435431,0.507362485,0.259370848,29.65434129,0.056276861,0.085939072,0.231251147,0.126984008,0.026033761,0.069970012,0.089230348,0.459054484,0.59642117,2.421576139,0.704243734,0.342737274,0.421823966,3.440536174,2.7616383499999997,3.393730965,0.128522453,6.274724086,8.225616745,0.201152614,8.496322547
36,BBB,Company 36,Rating agency 3,4/28/2011,Transportation,1.11779962,0.92521106,0.51108704,34.1877112,0.147327154,0.149881065,1.000654175,0.286464057,0.056028212,0.062900964,0.1782355,0.379427024,0.446251898,2.251408703,0.695192164,0.611768759,0.435888141,3.736990549,3.509617613,3.246420841,0.149290291,4.038208534,8.447080781,0.305183792,0.0
37,BBB,Company 109,Rating agency 3,4/28/2011,Public Utilities,1.516803915,0.951740614,0.382738385,38.15929089,0.136846484,0.226488878,1.005931363,0.251559614,0.048910624,0.088295822,0.188545258,0.357824049,0.617374391,2.845740113,0.733519297,0.391151429,0.362294091,2.916440238,2.6821697375999998,3.875674371,0.225106472,4.980021783,7.945797687,0.282146148,0.0
39,B,Company 376,Rating agency 3,5/6/2011,Technology,1.164255197,1.023227064,0.613487809,48.44254177,-0.041442785,0.052219786,0.684247327,0.077069272,-0.020948126,0.034186074,0.2106812514,0.500688346,7.667777153,1.076190449,0.51519072,0.415808192,1.00559114,1.832138129,4.718100842,2.087473673,0.05195478,10.6536443,1.860910195,0.126111118,3.647786412
40,BBB,Company 217,Rating agency 3,5/16/2011,Energy,1.032969564,0.708097595,0.0085703,39.03481215,0.019337951,0.019826457,0.039882482,0.029860711,0.036684207,0.05403209,0.116904194,1.905261674,3.860625072,2.164491231,0.680378556,-0.001968749,0.1304345222,-1.398453998,2.5205555278,3.12490116,0.019775789,9.882443351,1.879202937,0.009996567,9.048427391
41,CCC,Company 278,Rating agency 3,5/24/2011,Capital Goods,1.827668817,1.8210186962,0.57619368,52.281155139999996,0.0723263932,0.09772228379999999,0.128301346,-0.123851292,-0.002171516,-0.01029882,0.13384957960000002,0.01752079,1.369826584,3.768404723,0.791447138,0.27202362280000003,0.99832657,1.255771208,5.0450948734,4.810402005,0.09776686479999999,7.782343588400001,1.269646068,0.19373091539999998,0.542462863
43,BB,Company 121,Rating agency 3,5/26/2011,Health Care,1.847943572,1.369296891,0.632207067,45.440950554000004,0.150423974,0.226620562,0.701792913,0.272840543,0.065779495,0.138792857,0.149296919,0.441659473,8.035017195,1.220412383,0.533980015,0.338927704,0.957656976,3.788525264,6.2331630208,2.261156544,0.254997537,8.80065069,3.95321847,0.26683239,2.100681854
45,A,Company 272,Rating agency 3,5/31/2011,Capital Goods,2.215198823,1.466005437,1.194909912,0.0,0.044785157,0.06410784,0.204643516,0.064257589,0.032246027,0.052914278,0.086078013,0.723461149,6.120173147,1.65032574,0.627108442,0.304230938,0.897979467,3.812237116,5.2795429866,2.657889826,0.064400362,14.12792904,4.252816056,0.151426405,12.544302675
46,A,Company 105,Rating agency 3,5/31/2011,Capital Goods,1.613782297,1.310726949,0.261159216,58.66991009,0.055029356,0.075916391,0.212865744,0.075857849,0.055862062,0.097713884,0.126978994,1.015079443,5.843983398,1.277538159,0.555703242,0.264047428,0.89423782,6.806219207,4.2508928808,2.257709587,0.07492308,9.955741469,7.5361951,0.123097372,8.837884568
47,B,Company 201,Rating agency 3,6/1/2011,Energy,0.680996654,0.118611087,0.117414256,0.0,0.168461708,0.182423023,0.994971147,0.237942839,0.083358421,0.109295271,0.278791932,0.495460577,0.133666223,3.388855291,1.0034853,0.091469854,0.621633364,3.876247127,4.2078905472,3.362179228,0.185434007,4.237401356,6.236572074,0.0104536056,0.0
48,BB,Company 47,Rating agency 3,6/1/2011,Basic Industries,1.407695574,0.955152919,0.466149181,56.36284877,0.057048975,0.075726627,0.279967063,0.118206936,0.047463492,0.087330914,0.107224886,0.826013881,4.778568613,1.24627575,0.553085274,0.256352138,0.823575854,2.485193347,4.295775848,2.227326597,0.076030871,7.090103775,3.033361677,0.108041562,13.82257148
49,BBB,Company 467,Rating agency 3,6/9/2011,Technology,1.541208958,1.1534699,0.645575423,64.69348006,0.043515229,0.053511406,0.306136877,0.05351891,0.047499376,0.10523657,0.129464394,1.088071546,6.498014975799999,1.577582914,0.589938583,0.192205704,0.894523444,1.507497301,2.7004584441999997,2.734890822,0.054363896,13.10161087,1.692088284,0.149555464,4.870214604
50,BBB,Company 81,Rating agency 3,6/21/2011,Public Utilities,1.115278738,0.625205107,0.352716367,27.16395579,0.100665805,0.105043275,0.99419747,0.172849295,0.027576619,0.031135269,0.10858348,0.270112561,0.407805004,2.986886603,0.752115895,0.270520171,-0.304734678,-3.29608038,4.701971754,3.952534653,0.104784528,5.760728426,10.56600498,0.280593513,0.85911737
51,BBB,Company 122,Rating agency 3,6/21/2011,Energy,1.937159511,1.004015476,0.315284822,53.20866739,0.078585445,0.018289097,0.239762148,0.120446591,0.100441807,0.034155994,0.224699185,1.269424452,6.426515809,1.21601229,0.551882221,0.224797878,0.643380728,3.245184653,2.8445826181999996,2.239510242,0.018236338,10.63066845,5.141624178,0.075591056,7.352434302
52,BB,Company 167,Rating agency 3,6/24/2011,Public Utilities,0.987546455,0.796675323,0.30963373,32.70015314,-0.114778234,-0.094929224,1.005386954,0.004540182,-0.044286967,-0.040704149,0.0788452412,0.386179907,0.473609583,2.416427251,0.713321333,0.032969878,-0.051307066,-0.232305819,2.056592805,3.437496842,-0.094762378,13.64264599,4.492541554,0.276246643,0.0
54,BB,Company 227,Rating agency 3,6/28/2011,Capital Goods,3.426459491,2.32247706,0.5212631167999999,44.52812423,0.130613872,0.148040963,0.298092119,0.154432333,0.120830897,0.164918044,0.239942586,0.920040472,3.008042436,0.992943608,0.498060279,0.111177485,0.732234179,0.9862027191999999,3.7789325022,2.002128911,0.148115429,-0.753365338,2.5593039271999998,0.201025664,11.35208143
55,A,Company 232,Rating agency 3,6/30/2011,Technology,1.19007846,0.557356611,0.264516253,39.88431814,0.148029401,0.197342688,0.462493502,0.198476539,0.131061478,0.269228666,0.1430221162,0.872139015,7.121271197,3.920472073,0.797613605,0.246600256,0.792888827,3.5318441008,7.898284121800001,4.913242399,0.197933376,9.016431967,4.4691527962,0.194799499,6.87506975
56,BBB,Company 459,Rating agency 3,7/1/2011,Energy,1.240587215,0.889605216,0.320330653,25.1827647,0.030317583,0.047196895,0.166641033,0.047219633,0.093263753,0.231882404,0.253007579,1.1554666831999998,6.388848255,1.711330608,0.634469562,0.355477586,0.642606524,5.93738978,3.8417611627999997,2.711320353,0.047280795,1.491602492,9.313179258,0.041600002,8.076603249
58,BBB,Company 309,Rating agency 3,7/29/2011,Energy,1.956393921,1.09905344,0.678294745,17.34390753,0.235372038,0.214909909,0.993474034,0.299012983,0.102265715,0.100993419,0.282346081,0.436603298,0.534129108,1.768438194,0.64393993,0.004942008,0.650190807,3.337535009,2.263465651,2.745158785,0.214599528,8.860032647,5.078786671,0.333063166,0.0
59,BBB,Company 467,Rating agency 3,8/2/2011,Technology,1.451682523,1.077533372,0.596518135,36.7835676796,-0.073154626,-0.067662632,0.350356455,-0.075406692,-0.032082102,-0.058280456,0.113301502,0.440550576,8.681567799,1.881835791,0.612782566,-0.067356973,0.670117515,0.303186498,3.035282115,3.022003269,-0.068192797,10.136808767,0.451727847,0.105540292,1.891087461
60,B,Company 401,Rating agency 3,8/11/2011,Basic Industries,2.487410002,2.039241068,0.872767711,70.38371709,0.026162259,0.042585426,0.147236905,0.086787092,0.020968237,0.040322745,0.05625908,0.799791452,2.034221672,1.699450157,0.628578836,0.358958786,-0.359316933,-0.151739576,2.6634094276000004,2.721099237,0.042594255,2.70412651,0.41695575,0.038930778,6.438590155
61,BB,Company 47,Rating agency 3,8/12/2011,Basic Industries,1.361069556,0.881424856,0.304784757,89.53706505,0.026560933,0.03825559,0.291000653,0.078767568,0.013083231,0.023778107,0.049948411,0.494721405,4.22555947,2.866784953,0.736495827,0.310284169,0.678918382,1.606913838,4.336168633,3.867534289,0.038199961,11.77376835,2.330332261,0.069536246,6.462546233
63,BB,Company 368,Rating agency 3,8/15/2011,Consumer Services,0.074282142,0.073199806,0.055063254,6.087906334,0.1410278866,0.16231733899999998,0.913405416,0.331437439,0.042036157,0.040253519,0.078589671,0.109706699,3.73092586,0.851247754,0.458554915,0.0,0.72318609,3.052581792,4.7482734958,1.873594638,0.330704207,22.67064584,4.224452492,0.3728188662,0.658349071
65,B,Company 376,Rating agency 3,8/31/2011,Technology,1.31350645,0.978489127,0.51567343,58.39820621,-0.055563576,0.067091595,0.999463847,0.066574893,-0.023770382,0.034764313,0.11896761360000001,0.426187812,6.269701886,1.504880453,0.604289037,0.24152515699999996,0.552885092,0.82048155,5.7628408668,2.505333016,0.067527721,10.83871544,1.481379418,0.119672711,0.0
66,BB,Company 370,Rating agency 3,9/1/2011,Energy,1.287019354,0.741313412,0.045812946,25.043235761600002,0.248455821,0.247316235,0.007496294,0.0904962984,0.035843493,0.03960136,0.080994696,0.144620254,0.108874649,1.258535415,0.559957676,0.571828523,-0.002230451,-0.016522868,0.404609251,2.254624284,0.248559491,5.360833309,7.317899305,0.21374986420000003,2.347060245
67,BBB,Company 282,Rating agency 3,9/2/2011,Consumer Non-Durables,1.06733997,0.490440009,0.169151593,28.70067791,0.121460132,0.144712327,0.399403723,0.185560975,0.096872026,0.142691748,0.281754986,0.803792171,4.429013662,1.945495715,0.66372966,0.339066058,0.578485384,1.357530049,0.979616348,2.96093933,0.145156897,9.151667255,2.368114409,0.102566118,9.056636022
69,A,Company 122,Rating agency 3,9/21/2011,Energy,1.932759019,1.088261324,0.406455171,45.70825822,0.102872576,0.148802177,0.255514636,0.149004938,0.159642179,0.15066427719999997,0.335148272,1.543648565,7.821908421,1.117846626,0.527442576,0.273720139,0.700009584,7.467837124,10.0779756444,2.109345522,0.147116515,6.49663732,10.79279833,0.115383567,8.756367417
70,BB,Company 372,Rating agency 3,10/11/2011,Consumer Services,2.0257998994,1.419964908,0.5527861262,0.0,0.033369239,0.051108207,0.302234411,0.050964745,0.058123602,0.106290339,0.082758022,1.744775265,13.17788504,0.428304366,0.299739599,0.342660708,0.701437833,1.46754237,4.489111019,1.427907426,0.051093879,7.806272892,2.082444894,0.064570068,15.79796163
71,B,Company 296,Rating agency 3,10/24/2011,Transportation,1.468297616,1.313716113,0.707222222,79.74791913,0.05948348,0.059512222,0.433038968,0.239252553,0.01400087,0.055358681,0.038516407,0.236585542,0.374524824,1.643100654,0.595160433,-0.001369019,0.638123933,3.5318063786000002,3.4792643638,2.743414593,0.215550306,6.501321034,10.16328313,0.149757126,7.422317531
72,BB,Company 169,Rating agency 3,10/26/2011,Technology,0.860249759,0.835769728,0.546984147,6.12185191,0.056995744,0.088334365,0.706892018,0.102203841,0.058894081,0.097862432,0.120994496,1.027855708,9.96447706,1.064093246,0.515330464,0.359316842,0.53648897,2.527267564,2.9485286763999996,2.072289232,0.089136623,2.360934682,4.706856787,0.099996287,7.872313779
74,BB,Company 118,Rating agency 3,11/4/2011,Health Care,1.306500934,0.777024131,0.061679313,48.46236932,0.006107148,0.016944467,1.008039587,0.06795976,0.006805294,0.024425464,0.041084442,1.141161372,2.185202812,4.958206668,0.825068181,0.378994359,1.005825632,1.067391486,0.291869306,5.944956243,0.016797657,12.93764359,1.067316924,0.052349185,0.0
76,BBB,Company 112,Rating agency 3,11/10/2011,Technology,1.250327599,1.046913746,0.689922813,54.52048292,0.119754303,0.127950521,0.666164894,0.145827909,0.063301643,0.088224709,0.119228505,0.534987254,13.1966244,0.859603106,0.466458816,0.070691691,0.842811325,3.276779558,4.4425978592,1.877063788,0.12956801,3.45332182,3.907986644,0.215302702,2.680164486
77,BB,Company 437,Rating agency 3,11/11/2011,Basic Industries,1.402543778,0.267981386,0.14546148,10.49699516,0.023313874,0.037129368,0.106199413,0.045471987,0.023690497,0.061595838,0.061507892,1.028233149,7.571208226,1.589118412,0.618570049,0.372011628,0.3060640148,-2.079443129,5.669081696,2.581277785,0.036961139,5.514112594,-0.645515502,-0.008177155,4.26819582
78,BBB,Company 15,Rating agency 3,11/13/2011,Consumer Non-Durables,1.626035078,1.095771825,0.764455382,8.017778482,0.066157032,0.109748797,0.213393087,0.127267383,0.080846724,0.200912196,0.0977270526,1.220053243,12.3402571758,1.3021226644000001,0.5599623882000001,0.387214468,0.668525407,0.310130743,0.9156704358000001,3.3225897102,0.109632268,8.448990492,0.454879429,0.031831785,1.1277117242000003
79,BB,Company 255,Rating agency 3,11/14/2011,Consumer Services,2.830520567,0.465710926,0.5039865378,0.0,-0.003015501,-0.002419143,0.792466282,0.064484776,-0.001147388,-0.000930419,0.10102253480000001,0.384160967,0.442989132,0.966257069,0.485319385,0.083644721,0.502838807,0.479972184,3.14320316,1.942159041,-0.002379686,10.4574297,0.947692646,0.133410406,6.074949874
80,BBB,Company 109,Rating agency 3,11/18/2011,Public Utilities,1.096840714,0.617543854,0.204029031,31.11117005,0.132436485,0.207870135,0.998382875,0.238260645,0.045732453,0.079243518,0.173016637,0.342443987,0.580997001,2.805527899,0.734667809,0.368343018,0.166675184,1.211544922,2.175064197,3.817121697,0.208573944,5.6032471,7.311592878,0.255811348,1.279411417
81,BB,Company 419,Rating agency 3,12/15/2011,Technology,1.6222142653999998,1.515529736,0.5915537752,67.22160971,0.224630412,0.246796599,0.463504635,0.249982662,0.037471826,0.239308164,0.290357614,0.790190231,12.07274011,0.642376029,0.388954325,0.095903775,0.84878874,6.096017612,17.10910812,1.642235899,0.246166648,5.296995984,7.193776623,0.272704774,10.55818363
82,BB,Company 270,Rating agency 3,12/16/2011,Public Utilities,0.609132695,0.525220801,0.380080602,39.86631616,0.211036893,0.284559292,0.811467675,0.282143587,0.078157553,0.172439701,0.204760286,0.372736637,0.744646795,1.617584272,0.613199087,0.255205863,0.667275445,-0.42852329840000014,5.6933981208,2.600932265,0.326602086,1.056005697,3.1114400972,0.1313084226,0.873536157
83,A,Company 220,Rating agency 3,12/22/2011,Consumer Services,1.134268285,0.781725623,0.265582065,55.5882768,0.11849674,0.186641903,1.008254236,0.188951773,0.067029223,0.133198321,0.128661997,0.569974818,2.083146851,0.868263438,0.456111504,0.3663259,0.491877685,1.834549207,1.715539654,1.947514073,0.193560827,7.473016688,3.7456734,0.171240671,0.0
84,BBB,Company 337,Rating agency 3,12/22/2011,Consumer Services,0.899553841,0.653171282,0.271362813,36.1240135,0.137041761,0.117469277,0.776054367,0.139039308,0.072103834,0.101747741,0.212633118,0.533823403,10.72778122,1.950533869,0.666129658,0.18701833,0.75538623,1.16779422,3.0164477841999995,2.946474232,0.117147156,0.905399629,1.4708402034,0.237108317,4.379125793
86,A,Company 113,Rating agency 3,1/17/2012,Energy,1.078711602,0.865056305,0.042237844,96.42746915,0.062636834,0.154292557,0.276059118,0.155071554,0.048268369,0.226705435,0.123178016,0.758513722,1.48602495,1.50279951,0.579651614,0.593692487,0.198665468,0.713554794,4.1988354744,2.574712329,0.224777961,6.150513662,3.607346338,0.133718333,3.439047668
87,BB,Company 167,Rating agency 3,2/16/2012,Public Utilities,1.130452209,0.934298027,0.531527103,29.40073559,0.047632321,0.15086396,1.005036809,0.235905699,0.022566714,0.08087135,0.288333505,0.481398263,0.627225788,1.6265194388000002,0.926411908,0.103040616,0.185272438,1.096763944,3.0835737316,3.0514509246,0.151785771,7.03692695,5.874955707,0.432849579,0.0
88,AA,Company 425,Rating agency 3,2/17/2012,Transportation,1.89598411,1.618684674,0.466202167,43.03257389,0.071262943,0.107705567,0.995627441,0.113566271,0.108685648,0.204672111,0.1216195226,1.519048719,2.995286959,3.935684001,0.797147266,0.340314142,0.716248506,5.21204649,4.39745209,4.945932816,0.108623521,10.62848735,7.186728284,0.132981799,1.765958336
